Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.53905E-3,89.161781675,0.817791164,0.003481288,0.90778098,0
2.53939E-3,89.415721067,0.817811203,0.003384586,0.910662824,0
2.54159E-3,89.669879912,0.817939874,0.003287883,0.913544669,0
2.55618E-3,89.925497606,0.818790634,0.003191181,0.916426513,0
2.58137E-3,90.183634336,0.820241097,0.003094478,0.916426513,0
2.63275E-3,90.446909716,0.823129097,0.002997776,0.919308357,0
2.65288E-3,90.712197786,0.824235126,0.002901073,0.922190202,0
2.68113E-3,90.980310358,0.825764145,0.002804371,0.925072046,0
2.77275E-3,91.257585427,0.830546087,0.002707669,0.92795389,0
2.77436E-3,91.535021867,0.830627956,0.002610966,0.930835735,0
2.77673E-3,91.812695316,0.830748056,0.002514264,0.933717579,0
2.79229E-3,92.091924505,0.831532187,0.002417561,0.936599424,0
2.82969E-3,92.374893102,0.833387549,0.002320859,0.936599424,0
2.83544E-3,92.658436761,0.833669255,0.002224156,0.939481268,0
2.8376E-3,92.942197256,0.833775229,0.002127454,0.939481268,0
2.92178E-3,93.234375335,0.837787307,0.002030751,0.939481268,0
2.96917E-3,93.531292613,0.83996208,0.001934049,0.942363112,0
2.97245E-3,93.828537144,0.840110103,0.001837346,0.945244957,0
2.98727E-3,94.12726436,0.840777334,0.001740644,0.948126801,0
3.00783E-3,94.428047838,0.841693519,0.001643942,0.951008646,0
